resistance_ohm,frequency_Hz,V_IN_V,I_IN_A,P_IN_W,I_OUT_A,V_OUT_V,P_OUT_W
5.0,100000.0,23.9935367,0.332244602,7.9717230514638935,1.10881,5.541208,6.144167
5.0,101000.0,23.9934893,0.353434546,8.480127997701358,1.144537,5.730514,6.558818
5.0,102000.0,23.9923418,0.376128469,9.024202788958704,1.182463,5.92368,7.004562
5.0,103000.0,23.991752,0.400019639,9.597171974017527,1.221774,6.112538,7.468631
5.0,104000.0,23.9910696,0.426739054,10.23792634555216,1.263001,6.327965,7.991913
5.0,105000.0,23.9910227,0.454445162,10.902604197447177,1.306324,6.52983,8.529598
5.0,106000.0,23.9901686,0.485066482,11.636826685388867,1.351872,6.753783,9.12994
5.0,107000.0,23.9900166,0.518463463,12.437947083863486,1.399539,6.992308,9.786549
5.0,108000.0,23.9889556,0.555431971,13.324232891139488,1.448645,7.25103,10.50464
5.0,109000.0,23.9881616,0.594369369,14.257828473662032,1.500825,7.508788,11.26923
5.0,110000.0,23.9875198,0.636344493,15.264326125458462,1.554872,7.776277,12.09092
5.0,111000.0,23.986862,0.68177367,16.353610937523538,1.61098,8.057779,12.98062
5.0,112000.0,23.9865872,0.730751864,17.52824330739854,1.668986,8.350898,13.9372
5.0,113000.0,23.9852679,0.783336357,18.78853237845504,1.72878,8.655376,14.96421
5.0,114000.0,23.9844815,0.838947562,20.121722280259103,1.792379,8.957719,16.05508
5.0,115000.0,23.9822163,0.898928529,21.558298420718824,1.855924,9.284727,17.23185
5.0,116000.0,23.9817808,0.961855216,23.06700095144865,1.921072,9.609413,18.46032
5.0,117000.0,23.9800039,1.02781271,24.64695279426957,1.987303,9.937118,19.74794
5.0,118000.0,23.9795463,1.09646792,26.292803254104697,2.052966,10.27318,21.09065
5.0,119000.0,23.9781019,1.16643442,27.9688833824274,2.119178,10.59766,22.45871
5.0,120000.0,23.9759653,1.23769657,29.67497001424902,2.183116,10.9252,23.85038
5.0,121000.0,23.9756503,1.30808971,31.362301447988415,2.246038,11.22982,25.22198
5.0,122000.0,23.9746338,1.37596126,32.988167331486586,2.303396,11.53146,26.5634
5.0,123000.0,23.9733866,1.44002519,34.52228059360846,2.357488,11.80163,27.82162
5.0,124000.0,23.9719111,1.49900673,35.934056069861704,2.406989,12.03731,28.97038
5.0,125000.0,23.9705123,1.55063418,37.169495684490414,2.44926,12.24125,29.98108
5.0,126000.0,23.9695028,1.59205548,38.16077828561534,2.481793,12.41193,30.80421
5.0,127000.0,23.9694306,1.62361147,38.91704245152898,2.507086,12.53867,31.43638
5.0,128000.0,23.9688185,1.64427635,39.411361396992476,2.52373,12.62225,31.85587
5.0,129000.0,23.9690551,1.65351054,39.63308524169075,2.531797,12.66227,32.05875
5.0,129700.0,23.9688238,1.65306232,39.621959478499214,2.532796,12.66669,32.07772
5.0,130000.0,23.9695861,1.65054634,39.562912608669876,2.531785,12.66196,32.05793
5.0,131000.0,23.9702658,1.63812923,39.266393057849335,2.524479,12.62347,31.86601
5.0,132000.0,23.9700242,1.6174659,38.770696765674785,2.509887,12.55254,31.50686
5.0,133000.0,23.9704774,1.58990805,38.11085498060307,2.489675,12.45104,30.99792
5.0,134000.0,23.9716016,1.55183704,37.200019271003264,2.459823,12.30154,30.25784
5.0,135000.0,23.9718963,1.50295549,36.028693149795686,2.42011,12.10626,29.29848
5.0,136000.0,23.9735203,1.44629116,34.67269048397055,2.374365,11.87426,28.19437
5.0,137000.0,23.9745735,1.38499568,33.204680727342485,2.322423,11.6149,26.97676
5.0,138000.0,23.9757137,1.32046821,31.65916775291148,2.266984,11.33786,25.70215
5.0,139000.0,23.9764471,1.25439188,30.07586055348955,2.208924,11.04803,24.4041
5.0,139700.0,23.9777855,1.20878497,28.983986726283934,2.167544,10.84126,23.49881
5.0,140000.0,23.9779387,1.18918942,28.514311015448552,2.149732,10.75159,23.11194
5.0,141000.0,23.9802883,1.12514741,26.981359271798308,2.089809,10.4542,21.84543
5.0,142000.0,23.9803086,1.06354436,25.504121962589497,2.030817,10.15759,20.62775
5.0,143000.0,23.9814892,1.00428201,24.084178176569292,1.971795,9.868155,19.45807
5.0,144000.0,23.9822351,0.94805094,22.736380529855996,1.916559,9.586534,18.3726
5.0,145000.0,23.9835416,0.894912299,21.46316635141814,1.859875,9.316254,17.3271
5.0,146000.0,23.9851156,0.846129809,20.29452128147092,1.809394,9.03771,16.35328
5.0,147000.0,23.9861779,0.799572757,19.17869439339547,1.757976,8.779144,15.433
5.0,148000.0,23.9866605,0.755647044,18.125449102256564,1.706026,8.540462,14.57002
5.0,149000.0,23.9856507,0.715379244,17.15883666461407,1.659808,8.293914,13.76791
5.0,150000.0,23.9879592,0.677430364,16.250171932473148,1.61375,8.069477,13.02135
5.0,151000.0,23.9884643,0.642311382,15.408063656590663,1.571265,7.84546,12.32632
5.0,152000.0,23.9888789,0.609446016,14.619926673911463,1.528438,7.641258,11.67862
5.0,153000.0,23.9896762,0.578927446,13.888281972832987,1.488616,7.440381,11.07583
5.0,154000.0,23.9903399,0.550545683,13.20777806564765,1.449873,7.250638,10.51222
5.0,155000.0,23.9906471,0.524081555,12.57305563762424,1.41321,7.069729,9.990582
5.0,156000.0,23.9911507,0.499469234,11.982841662907562,1.377334,6.899887,9.503326
5.0,157000.0,23.9907916,0.476443002,11.430244770260384,1.345367,6.721992,9.04385
5.0,158000.0,23.9919959,0.45495582,10.915298168121138,1.313396,6.56368,8.620459
5.0,159000.0,23.9916383,0.434835767,10.432422441767077,1.283315,6.405909,8.221324
5.0,160000.0,23.9919736,0.416219482,9.985926823949676,1.253026,6.270693,7.858291
5.0,161000.0,23.9925712,0.398543539,9.562084235757476,1.225959,6.124464,7.508628
5.0,162000.0,23.993688,0.382056003,9.166932534509064,1.199526,5.989463,7.18449
5.0,163000.0,23.9932265,0.366719724,8.798789399949486,1.173309,5.865884,6.882038
5.0,164000.0,23.9935131,0.352090455,8.447886944427461,1.147387,5.742056,6.587538
5.0,165000.0,23.9938294,0.338671564,8.12602772924718,1.125143,5.618792,6.322135
5.0,166000.0,23.9940682,0.32575389,7.816161053075298,1.102715,5.506617,6.07228
5.0,167000.0,23.9937844,0.313872745,7.530994972566178,1.080298,5.405915,5.840086
5.0,168000.0,23.9946228,0.30230939,7.253799781948092,1.059988,5.294176,5.612241
5.0,169000.0,23.9959001,0.291795978,7.001907137669798,1.039549,5.20184,5.40796
5.0,170000.0,23.9951163,0.281573316,6.756384464396651,1.020549,5.101529,5.206818
5.0,171000.0,23.9949488,0.272059606,6.528056316518173,1.001703,5.012334,5.021127
5.0,172000.0,23.9954435,0.262966698,6.310002544240563,0.9838483,4.923437,4.843328
5.0,173000.0,23.9958263,0.254289715,6.101891831016506,0.9669042,4.831155,4.671021
5.0,174000.0,23.9964693,0.246233746,5.908740526512998,0.9497778,4.75335,4.514363
5.0,175000.0,23.995898,0.238562877,5.724530463078546,0.9339546,4.676243,4.367401
5.0,176000.0,23.9965628,0.231135298,5.546452693753714,0.9185467,4.595727,4.221429
5.0,177000.0,23.9968326,0.224081058,5.3772356376568915,0.903918,4.517931,4.084367
5.0,178000.0,23.9961401,0.217480299,5.21868772379389,0.8895931,4.44937,3.958032
5.0,179000.0,23.9965582,0.211225196,5.068677709120407,0.8752533,4.38279,3.835573
5.0,180000.0,23.9968642,0.205147437,4.922895186667056,0.8615845,4.313666,3.716955
5.0,181000.0,23.9968828,0.199388531,4.784703210071167,0.8486364,4.248232,3.604534
5.0,182000.0,23.9972331,0.193757605,4.649646412082725,0.8362002,4.179423,3.494847
5.0,183000.0,23.9970946,0.188648097,4.527006229818976,0.8240238,4.124879,3.398963
5.0,184000.0,23.9968858,0.18365087,4.407048954460646,0.8120781,4.066789,3.302563
5.0,185000.0,23.9968667,0.178672445,4.287578845628082,0.8007759,4.00116,3.204369
5.0,186000.0,23.99728,0.174267678,4.18195026391584,0.7894019,3.954576,3.122217
5.0,187000.0,23.9972726,0.169848358,4.07589734758839,0.7787066,3.90005,3.036546
5.0,188000.0,23.9975243,0.165534272,3.9724127148028097,0.7682344,3.842954,2.952449
5.0,189000.0,23.9978182,0.161590712,3.8778245293845583,0.7579842,3.796735,2.877595
5.0,190000.0,23.9973334,0.157617158,3.7823914900864772,0.7483517,3.742766,2.800563
5.0,191000.0,23.9975441,0.153947992,3.694373727126447,0.7385556,3.696014,2.730047
5.0,192000.0,23.9975522,0.150220845,3.604932569415609,0.7292609,3.642248,2.65642
5.0,193000.0,23.9978567,0.146991062,3.5274704420568157,0.7204708,3.596347,2.590582
5.0,194000.0,23.9979733,0.143420678,3.4418056013118976,0.7114648,3.550373,2.526075
5.0,195000.0,23.9979929,0.140449046,3.370495208719773,0.7025841,3.517707,2.471354
5.0,196000.0,23.9979908,0.137318472,3.2953674277260574,0.6941268,3.472708,2.41033
5.0,197000.0,23.9983831,0.134250133,3.2217861229599523,0.6862673,3.426714,2.351882
5.0,198000.0,23.9977336,0.131565381,3.1572709642205017,0.6782016,3.395005,2.302462
5.0,199000.0,23.9980325,0.128870924,3.09264862245703,0.6703596,3.359634,2.251911
5.0,200000.0,23.9983341,0.126072419,3.025528031957188,0.6628673,3.314904,2.197404
5.0,201000.0,23.9988221,0.123556842,2.9652186703958083,0.655526,3.279563,2.149774
5.0,202000.0,23.9986896,0.121153521,2.9075257444260814,0.6481051,3.248088,2.10486
5.0,203000.0,23.9984056,0.118774882,2.8504077933281393,0.6410649,3.213499,2.060045
5.0,204000.0,23.9989868,0.116243755,2.7897323418274342,0.6345991,3.168113,2.010248
5.0,205000.0,23.9984277,0.114431185,2.7461685198478247,0.6271263,3.156266,1.979344
5.0,206000.0,23.9985083,0.112075818,2.6896524485022892,0.6209374,3.112643,1.932446
5.0,207000.0,23.9975723,0.109920094,2.6378154029877963,0.6147234,3.078372,1.892023
5.0,208000.0,23.9981664,0.107847502,2.5881422988203324,0.6088223,3.044271,1.853309
5.0,209000.0,23.9982487,0.106015277,2.5441809834453903,0.6025048,3.020915,1.820116
5.0,210000.0,23.9985514,0.103895836,2.4933495604919704,0.5967864,2.978636,1.777796
5.0,211000.0,23.9981913,0.102213993,2.452950957550861,0.59043,2.954981,1.745496
5.0,212000.0,23.9981262,0.100304526,2.4071206733791817,0.5849648,2.920638,1.708461
5.0,213000.0,23.9987926,0.0983436461,2.360128766281699,0.5789995,2.89742,1.677689
5.0,214000.0,23.9987362,0.0965348912,2.3167153880045013,0.5712676,2.854231,1.630418
5.0,215000.0,23.9988053,0.094981708,2.2794475173534523,0.5659725,2.831496,1.602331
5.0,216000.0,23.9995241,0.0934656885,2.243132043678843,0.5605693,2.808746,1.574673
5.0,217000.0,23.9988851,0.0917689477,2.202352431600209,0.5556278,2.774045,1.541264
5.0,218000.0,23.9986163,0.0903845062,2.1691030837587713,0.5505024,2.754299,1.516112
5.0,219000.0,23.999064,0.0889505547,2.134730055080801,0.5456006,2.730709,1.489743
5.0,220000.0,23.9989592,0.087556412,2.1012627592863904,0.5409213,2.707439,1.463921
5.0,221000.0,23.998901,0.0862038826,2.0687984443330225,0.5363128,2.685,1.439961
5.0,222000.0,23.9981086,0.0848674245,2.0366576697533003,0.5317552,2.661938,1.415354
5.0,223000.0,23.9990521,0.0835719471,2.0056475125513438,0.5271735,2.639478,1.39137
5.0,224000.0,23.9989056,0.0823344605,1.9759369451664288,0.5225708,2.618425,1.368343
5.0,225000.0,23.9987771,0.0810860952,1.94596712461418,0.5183797,2.595433,1.345627
5.0,226000.0,23.9989744,0.0798574065,1.916495854243894,0.5142146,2.572434,1.322734
5.0,227000.0,23.9986435,0.0786576073,1.8876758761556975,0.5098314,2.549739,1.299832
5.0,228000.0,23.9990966,0.0774764953,1.8593658949341463,0.5059158,2.526759,1.278277
5.0,229000.0,23.999437,0.0765110723,1.8362226594662951,0.5014303,2.514942,1.261086
5.0,230000.0,23.998604,0.0754258945,1.8101161734512778,0.4976432,2.494846,1.24141
5.0,231000.0,23.9990843,0.074313978,1.7834674226903455,0.4936121,2.472053,1.220344
5.0,232000.0,23.9980527,0.0732203164,1.7571450116778742,0.4900121,2.449178,1.200041
5.0,233000.0,23.9992208,0.0723362767,1.7360142763731952,0.4860043,2.43737,1.184646
5.0,234000.0,23.9985381,0.0712853862,1.7107450566939142,0.4820748,2.414648,1.164275
5.0,235000.0,23.9983466,0.0702611489,1.686151403816409,0.478898,2.392376,1.145683
5.0,236000.0,23.9991671,0.0692908331,1.6629222820651113,0.4754063,2.372104,1.127602
5.0,237000.0,23.9996591,0.0684798481,1.6434930096197826,0.4716178,2.360477,1.11318
5.0,238000.0,23.9991774,0.0676693276,1.6240081976111163,0.4681355,2.34824,1.099532
