Time (s),V_SEC,V_OUT
0.0,-1.7085460479999988,1.35436678912
1e-09,-1.7085460479999988,1.35436678912
2e-09,-1.7085460479999988,1.35436678912
3.0000000000000004e-09,-1.7085460479999988,1.35436678912
4e-09,-1.7085460479999988,1.35436678912
5e-09,-1.7085460479999988,1.35436678912
6.000000000000001e-09,-1.7085460479999988,1.35436678912
7.000000000000001e-09,-1.7085460479999988,1.35436678912
8e-09,-1.7085460479999988,1.35436678912
9.000000000000001e-09,-1.7085460479999988,1.3624069888
1e-08,-1.7085460479999988,1.3624069888
1.1000000000000001e-08,-1.7085460479999988,1.3624069888
1.2000000000000002e-08,-1.7085460479999988,1.3624069888
1.3e-08,-1.7085460479999988,1.3624069888
1.4000000000000001e-08,-1.7085460479999988,1.37044718848
1.5000000000000002e-08,-1.7085460479999988,1.3624069888
1.6e-08,-1.7085460479999988,1.3624069888
1.7e-08,-1.7085460479999988,1.3624069888
1.8000000000000002e-08,-1.7085460479999988,1.3624069888
1.9e-08,-1.7085460479999988,1.3624069888
2e-08,-1.7085460479999988,1.3624069888
2.1000000000000003e-08,-2.110556159999998,1.3624069888
2.2000000000000002e-08,-2.110556159999998,1.3624069888
2.3e-08,-2.110556159999998,1.3624069888
2.4000000000000003e-08,-2.110556159999998,1.3624069888
2.5000000000000002e-08,-2.110556159999998,1.3624069888
2.6e-08,-2.110556159999998,1.3624069888
2.7e-08,-1.7085460479999988,1.3624069888
2.8000000000000003e-08,-1.7085460479999988,1.3624069888
2.9e-08,-1.7085460479999988,1.3624069888
3.0000000000000004e-08,-1.7085460479999988,1.37044718848
3.1e-08,-1.7085460479999988,1.37044718848
3.2e-08,-1.7085460479999988,1.37044718848
3.3000000000000004e-08,-1.7085460479999988,1.37044718848
3.4e-08,-1.7085460479999988,1.37044718848
3.5e-08,-1.7085460479999988,1.37044718848
3.6000000000000005e-08,-1.7085460479999988,1.37044718848
3.7e-08,-1.7085460479999988,1.37044718848
3.8e-08,-1.7085460479999988,1.37044718848
3.9000000000000005e-08,-1.7085460479999988,1.37044718848
4e-08,-1.7085460479999988,1.37044718848
4.1e-08,-1.7085460479999988,1.37044718848
4.2000000000000006e-08,-1.7085460479999988,1.37044718848
4.3e-08,-1.7085460479999988,1.37044718848
4.4000000000000004e-08,-1.7085460479999988,1.37044718848
4.5000000000000006e-08,-1.7085460479999988,1.3624069888
4.6e-08,-1.7085460479999988,1.3624069888
4.7000000000000004e-08,-1.7085460479999988,1.3624069888
4.8000000000000006e-08,-1.7085460479999988,1.35436678912
4.9e-08,-1.7085460479999988,1.35436678912
5.0000000000000004e-08,-1.7085460479999988,1.35436678912
5.1e-08,-1.7085460479999988,1.34632658944
5.2e-08,-1.7085460479999988,1.34632658944
5.3000000000000005e-08,-1.3065359359999995,1.34632658944
5.4e-08,-1.3065359359999995,1.34632658944
5.5e-08,-1.3065359359999995,1.34632658944
5.6000000000000005e-08,-1.3065359359999995,1.34632658944
5.7e-08,-1.3065359359999995,1.34632658944
5.8e-08,-1.3065359359999995,1.34632658944
5.9000000000000006e-08,-1.3065359359999995,1.34632658944
6.000000000000001e-08,-1.7085460479999988,1.34632658944
6.1e-08,-1.7085460479999988,1.35436678912
6.2e-08,-1.7085460479999988,1.35436678912
6.300000000000001e-08,-1.7085460479999988,1.35436678912
6.4e-08,-1.7085460479999988,1.3624069888
6.5e-08,-1.7085460479999988,1.3624069888
6.600000000000001e-08,-1.7085460479999988,1.3624069888
6.7e-08,-1.7085460479999988,1.35436678912
6.8e-08,-1.7085460479999988,1.35436678912
6.900000000000001e-08,-1.7085460479999988,1.35436678912
7e-08,-1.7085460479999988,1.35436678912
7.1e-08,-1.7085460479999988,1.35436678912
7.200000000000001e-08,-1.7085460479999988,1.3624069888
7.3e-08,-1.7085460479999988,1.3624069888
7.4e-08,-1.7085460479999988,1.3624069888
7.500000000000001e-08,-1.7085460479999988,1.3624069888
7.6e-08,-1.7085460479999988,1.3624069888
7.7e-08,-1.7085460479999988,1.3624069888
7.800000000000001e-08,-1.7085460479999988,1.3624069888
7.9e-08,-1.7085460479999988,1.3624069888
8e-08,-1.7085460479999988,1.3624069888
8.100000000000001e-08,-1.7085460479999988,1.3624069888
8.2e-08,-1.7085460479999988,1.3624069888
8.3e-08,-1.7085460479999988,1.3624069888
8.400000000000001e-08,-1.7085460479999988,1.3624069888
8.500000000000001e-08,-1.7085460479999988,1.3624069888
8.6e-08,-1.7085460479999988,1.3624069888
8.700000000000001e-08,-1.7085460479999988,1.3624069888
8.800000000000001e-08,-1.7085460479999988,1.3624069888
8.9e-08,-1.7085460479999988,1.3624069888
9.000000000000001e-08,-1.7085460479999988,1.3624069888
9.100000000000001e-08,-1.7085460479999988,1.3624069888
9.2e-08,-1.7085460479999988,1.3624069888
9.300000000000001e-08,-1.7085460479999988,1.3624069888
9.400000000000001e-08,-1.7085460479999988,1.3624069888
9.5e-08,-1.7085460479999988,1.3624069888
9.600000000000001e-08,-1.7085460479999988,1.3624069888
9.700000000000001e-08,-1.7085460479999988,1.37044718848
9.8e-08,-1.7085460479999988,1.3624069888
9.9e-08,-1.7085460479999988,1.3624069888
1.0000000000000001e-07,-1.7085460479999988,1.3624069888
1.01e-07,-1.7085460479999988,1.3624069888
1.02e-07,-1.7085460479999988,1.3624069888
1.0300000000000001e-07,-1.7085460479999988,1.3624069888
1.04e-07,-1.7085460479999988,1.3624069888
1.05e-07,-1.7085460479999988,1.3624069888
1.0600000000000001e-07,-1.7085460479999988,1.3624069888
1.07e-07,-1.7085460479999988,1.3624069888
1.08e-07,-1.7085460479999988,1.3624069888
1.0900000000000001e-07,-1.7085460479999988,1.3624069888
1.1e-07,-1.7085460479999988,1.3624069888
1.11e-07,-1.7085460479999988,1.3624069888
1.1200000000000001e-07,-1.7085460479999988,1.3624069888
1.13e-07,-1.3065359359999995,1.3624069888
1.14e-07,-1.3065359359999995,1.3624069888
1.1500000000000001e-07,-1.3065359359999995,1.37044718848
1.16e-07,-1.3065359359999995,1.37044718848
1.17e-07,-1.3065359359999995,1.37044718848
1.1800000000000001e-07,-1.3065359359999995,1.37848738816
1.1900000000000001e-07,-1.3065359359999995,1.37848738816
1.2000000000000002e-07,-1.3065359359999995,1.37848738816
1.21e-07,-1.7085460479999988,1.37848738816
1.22e-07,-1.7085460479999988,1.37848738816
1.23e-07,-1.7085460479999988,1.37044718848
1.24e-07,-1.7085460479999988,1.37044718848
1.2500000000000002e-07,-1.7085460479999988,1.37044718848
1.2600000000000002e-07,-1.7085460479999988,1.37044718848
1.27e-07,-1.7085460479999988,1.3624069888
1.28e-07,-1.7085460479999988,1.3624069888
1.29e-07,-1.7085460479999988,1.3624069888
1.3e-07,-1.7085460479999988,1.3624069888
1.31e-07,-1.7085460479999988,1.35436678912
1.3200000000000002e-07,-1.3065359359999995,1.35436678912
1.33e-07,-1.3065359359999995,1.35436678912
1.34e-07,-1.3065359359999995,1.35436678912
1.35e-07,-1.3065359359999995,1.35436678912
1.36e-07,-1.3065359359999995,1.35436678912
1.37e-07,-1.3065359359999995,1.35436678912
1.3800000000000002e-07,-1.7085460479999988,1.35436678912
1.3900000000000001e-07,-1.7085460479999988,1.35436678912
1.4e-07,-1.7085460479999988,1.35436678912
1.41e-07,-1.7085460479999988,1.35436678912
1.42e-07,-1.7085460479999988,1.35436678912
1.43e-07,-1.7085460479999988,1.35436678912
1.4400000000000002e-07,-1.7085460479999988,1.35436678912
1.4500000000000001e-07,-1.7085460479999988,1.35436678912
1.46e-07,-1.7085460479999988,1.35436678912
1.47e-07,-1.7085460479999988,1.35436678912
1.48e-07,-1.7085460479999988,1.35436678912
1.49e-07,-1.7085460479999988,1.35436678912
1.5000000000000002e-07,-1.7085460479999988,1.35436678912
1.5100000000000002e-07,-1.7085460479999988,1.35436678912
1.52e-07,-1.7085460479999988,1.35436678912
1.53e-07,-1.7085460479999988,1.35436678912
1.54e-07,-1.7085460479999988,1.35436678912
1.55e-07,-1.7085460479999988,1.35436678912
1.5600000000000002e-07,-1.7085460479999988,1.35436678912
1.5700000000000002e-07,-1.7085460479999988,1.35436678912
1.58e-07,-1.7085460479999988,1.3624069888
1.59e-07,-1.7085460479999988,1.3624069888
1.6e-07,-1.7085460479999988,1.3624069888
