resistance_ohm,frequency_Hz,I_P_PP,I_P_AMP,I_P_AVG,I_OUT_AMP,I_OUT_AVG,I_IN_AMP,I_IN_AVG,V_SW_FREQ,V_SW_AMP,V_OUT_AVG,V_OUT_PP,V_SEC_AMP
5.0,147000.0,8.1,8.1,-0.72,0.032,1.79122,0.094,0.8516,147100.0,23.0,9.00533,0.17,20.1
5.0,148000.0,7.8,7.8,-0.73,0.034,1.74138,0.094,0.8078,147900.0,23.0,8.74554,0.16,19.3
5.0,149000.0,7.8,7.8,-0.72,0.024,1.69083,0.094,0.7664,148800.0,23.0,8.50222,0.17,18.9
5.0,150000.0,7.8,7.8,-0.72,0.034,1.64774,0.088,0.7303,149700.0,23.0,8.26148,0.16,18.5
5.0,151000.0,7.5,7.5,-0.73,0.022,1.6014,0.088,0.6945,151100.0,24.0,8.04474,0.16,17.7
5.0,152000.0,7.2,7.2,-0.73,0.022,1.56198,0.081,0.6618,152000.0,23.0,7.82347,0.18,17.7
5.0,153000.0,7.2,7.2,-0.76,0.021,1.5213,0.088,0.6304,152900.0,23.0,7.614,0.17,16.9
5.0,154000.0,7.2,7.2,-0.72,0.022,1.48189,0.081,0.604,154300.0,23.0,7.42173,0.17,16.9
5.0,155000.0,6.9,6.9,-0.75,0.034,1.4446,0.075,0.5771,155300.0,23.0,7.23066,0.15,16.1
5.0,156000.0,6.9,6.9,-0.74,0.021,1.40911,0.075,0.5521,156300.0,23.0,7.05648,0.16,16.1
5.0,157000.0,6.6,6.6,-0.75,0.021,1.3776,0.075,0.5309,157200.0,23.0,6.88471,0.16,15.3
5.0,158000.0,6.6,6.6,-0.74,0.022,1.34578,0.075,0.5067,158200.0,24.0,6.71226,0.17,15.3
5.0,159000.0,6.6,6.6,-0.73,0.021,1.31344,0.069,0.4897,159200.0,23.0,6.56245,0.16,14.9
5.0,160000.0,6.6,6.6,-0.74,0.034,1.28439,0.069,0.4703,160300.0,23.0,6.4114,0.15,14.5
5.0,161000.0,5.9,5.9,-0.73,0.021,1.25766,0.069,0.4534,161300.0,24.0,6.25895,0.15,14.1
5.0,162000.0,5.9,5.9,-0.7,0.021,1.23233,0.063,0.4375,162300.0,23.0,6.12102,0.14,13.7
5.0,163000.0,6.3,6.3,-0.73,0.02,1.20286,0.056,0.42,162900.0,23.0,5.99215,0.15,13.7
5.0,164000.0,5.9,5.9,-0.72,0.02,1.1799,0.063,0.4071,163900.0,24.0,5.86156,0.14,13.3
5.0,165000.0,5.9,5.9,-0.75,0.021,1.15518,0.063,0.3934,165000.0,24.0,5.73925,0.14,12.9
5.0,166000.0,5.9,5.9,-0.71,0.02,1.1304,0.056,0.381,166100.0,24.0,5.62378,0.16,12.9
5.0,167000.0,5.9,5.9,-0.73,0.02,1.11037,0.056,0.3686,167200.0,24.0,5.52055,0.14,12.9
5.0,168000.0,5.9,5.9,-0.73,0.01,1.0912,0.056,0.3593,167800.0,24.0,5.40404,0.15,12.5
5.0,169000.0,5.3,5.3,-0.75,0.01,1.07013,0.056,0.3473,168900.0,23.0,5.30094,0.14,12.1
5.0,170000.0,5.3,5.3,-0.74,0.02,1.04816,0.05,0.3377,170100.0,24.0,5.2066,0.14,12.1
5.0,171000.0,5.3,5.3,-0.75,0.01,1.03033,0.056,0.3267,171200.0,24.0,5.11195,0.13,12.1
5.0,172000.0,5.3,5.3,-0.73,0.01,1.01543,0.05,0.3186,171800.0,24.0,5.02147,0.14,11.7
5.0,173000.0,5.3,5.3,-0.74,0.02,0.99735,0.05,0.3119,173000.0,24.0,4.92817,0.14,11.3
5.0,174000.0,5.3,5.3,-0.75,0.019,0.97856,0.05,0.3021,173600.0,23.0,4.84587,0.14,11.3
5.0,175000.0,5.3,5.3,-0.74,0.01,0.96376,0.056,0.2935,174800.0,24.0,4.75631,0.13,11.3
5.0,176000.0,5.3,5.3,-0.73,0.01,0.94917,0.05,0.2856,176100.0,24.0,4.67179,0.14,10.9
5.0,177000.0,5.3,5.3,-0.74,0.01,0.93331,0.056,0.2787,177300.0,24.0,4.60279,0.14,10.9
5.0,178000.0,5.0,5.0,-0.74,0.01,0.91994,0.05,0.2744,177900.0,24.0,4.52153,0.14,10.5
5.0,179000.0,4.7,4.7,-0.74,0.019,0.90671,0.05,0.267,179200.0,24.0,4.45553,0.14,10.5
5.0,180000.0,5.0,5.0,-0.73,0.01,0.89192,0.05,0.2616,179900.0,24.0,4.38582,0.14,10.5
5.0,181000.0,4.7,4.7,-0.72,0.01,0.87938,0.056,0.2557,181200.0,24.0,4.31831,0.12,10.5
5.0,182000.0,4.7,4.7,-0.78,0.01,0.86498,0.05,0.2499,181800.0,24.0,4.25594,0.14,10.1
5.0,183000.0,4.7,4.7,-0.76,0.01,0.85193,0.05,0.2462,183200.0,23.0,4.18816,0.12,9.6
5.0,184000.0,4.7,4.7,-0.73,0.01,0.84094,0.05,0.2406,183800.0,24.0,4.12668,0.13,9.6
5.0,185000.0,4.7,4.7,-0.75,0.01,0.82942,0.05,0.2359,185200.0,24.0,4.07429,0.13,9.6
5.0,186000.0,4.7,4.7,-0.73,0.02,0.81735,0.05,0.232,185900.0,24.0,4.01698,0.14,10.5
5.0,187000.0,4.7,4.7,-0.71,0.01,0.80625,0.05,0.2258,187300.0,24.0,3.96294,0.12,10.3
5.0,188000.0,4.7,4.7,-0.73,0.01,0.79821,0.05,0.221,188000.0,24.0,3.90161,0.11,10.5
5.0,189000.0,4.4,4.4,-0.72,0.01,0.78651,0.044,0.2186,189000.0,24.0,3.85412,0.11,10.5
5.0,190000.0,4.4,4.4,-0.73,0.01,0.77698,0.05,0.2136,190000.0,24.0,3.79662,0.13,10.5
5.0,191000.0,4.7,4.7,-0.72,0.017,0.76911,0.05,0.2098,191000.0,24.0,3.7493,0.12,10.5
5.0,192000.0,4.1,4.1,-0.74,0.01,0.75747,0.05,0.2062,192000.0,23.0,3.70385,0.13,10.5
5.0,193000.0,4.4,4.4,-0.75,0.01,0.74784,0.044,0.2039,193000.0,24.0,3.65919,0.12,10.5
5.0,194000.0,4.4,4.4,-0.73,0.025,0.73877,0.044,0.2013,194000.0,23.0,3.61303,0.12,10.1
5.0,195000.0,4.4,4.4,-0.74,0.01,0.73235,0.038,0.1979,195000.0,24.0,3.56497,0.12,9.6
5.0,196000.0,4.1,4.1,-0.73,0.01,0.72329,0.044,0.1971,196000.0,24.0,3.52094,0.11,9.6
5.0,197000.0,4.1,4.1,-0.73,0.01,0.71422,0.038,0.1905,197000.0,24.0,3.48029,0.12,9.6
5.0,198000.0,4.1,4.1,-0.74,0.01,0.70722,0.05,0.1874,198000.0,24.0,3.43584,0.13,9.6
5.0,199000.0,4.1,4.1,-0.75,0.01,0.6983,0.038,0.1856,199000.0,23.0,3.40341,0.12,9.6
