resistance_ohm,frequency_Hz,V_IN_V,I_IN_A,P_IN_W,I_OUT_A,V_OUT_V,P_OUT_W
5.0,160000.0,23.9963419,0.41599684,9.982402401959597,1.252805,6.270552,7.855695
5.0,161000.0,23.996815,0.39829315,9.55776703631725,1.225385,6.124426,7.504276
5.0,162000.0,23.9977408,0.381796669,9.162257500965394,1.198931,5.989374,7.180726
5.0,163000.0,23.9975366,0.366373461,8.792060539616173,1.172791,5.865471,6.878767
5.0,164000.0,23.9970206,0.351888905,8.444285302196443,1.147915,5.741843,6.590904
5.0,165000.0,23.9979821,0.338146004,8.114821751178528,1.12486,5.618923,6.320498
5.0,166000.0,23.9977356,0.325330905,7.807205040698718,1.102012,5.506789,6.0687
5.0,167000.0,23.9982942,0.313372129,7.520396545822352,1.079674,5.405539,5.836026
5.0,168000.0,23.9983515,0.301825296,7.243309544999544,1.059324,5.293853,5.607769
5.0,169000.0,23.9981819,0.291148541,6.987035646837607,1.039476,5.193308,5.398808
5.0,170000.0,23.9998106,0.281094661,6.746218624671207,1.01979,5.101596,5.202342
5.0,171000.0,23.998965,0.271570382,6.517408092654629,1.001031,5.012002,5.01728
5.0,172000.0,23.9998942,0.262479485,6.2994798696704875,0.9830425,4.922933,4.838902
5.0,173000.0,24.0005494,0.253761613,6.090418128630183,0.9661589,4.831466,4.668251
5.0,174000.0,24.0004802,0.245696076,5.8968238072556955,0.9491152,4.753337,4.511757
5.0,175000.0,24.0002661,0.237781944,5.7068299297752985,0.9338071,4.664837,4.356282
5.0,176000.0,24.0000296,0.230352479,5.528466314433379,0.918552,4.584534,4.211016
5.0,177000.0,23.9999799,0.223521966,5.364522691208483,0.9032022,4.517629,4.080946
5.0,178000.0,24.0004854,0.216721712,5.2014262847190045,0.8890707,4.438091,3.946083
5.0,179000.0,24.0003592,0.210453476,5.0509590188885785,0.8748381,4.371652,3.825226
5.0,180000.0,24.0004869,0.204381692,4.905260121445835,0.8612679,4.302684,3.705858
5.0,181000.0,23.9999566,0.198610442,4.766641988306818,0.8481158,4.236796,3.59326
