#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,1000.0,0.2000,-8.08,39.90
2,1010.0,0.2000,-8.34,43.63
3,1020.0,0.2000,-8.40,39.39
4,1030.2,0.2000,-8.30,40.50
5,1040.4,0.2000,-8.07,40.09
6,1050.8,0.2000,-7.81,40.38
7,1061.2,0.2000,-7.67,35.58
8,1071.8,0.2000,-8.14,40.51
9,1082.5,0.2000,-8.16,38.71
10,1093.2,0.2000,-7.85,40.65
11,1104.1,0.2000,-7.90,37.35
12,1115.1,0.2000,-8.13,35.45
13,1126.2,0.2000,-8.15,37.76
14,1137.4,0.2000,-7.88,38.80
15,1148.7,0.2000,-7.72,37.96
16,1160.2,0.2000,-7.87,38.63
17,1171.7,0.2000,-7.87,35.11
18,1183.4,0.2000,-7.36,38.03
19,1195.1,0.2000,-7.29,41.17
20,1207.0,0.2000,-7.95,37.21
21,1219.0,0.2000,-7.63,34.34
22,1231.2,0.2000,-7.49,36.07
23,1243.4,0.2000,-7.44,37.78
24,1255.8,0.2000,-7.63,38.74
25,1268.3,0.2000,-7.55,37.92
26,1280.9,0.2000,-7.15,35.40
27,1293.7,0.2000,-7.39,34.86
28,1306.6,0.2000,-7.28,35.74
29,1319.6,0.2000,-7.11,35.29
30,1332.7,0.2000,-7.23,34.66
31,1346.0,0.2000,-7.47,32.23
32,1359.4,0.2000,-6.99,33.55
33,1372.9,0.2000,-7.22,37.18
34,1386.5,0.2000,-7.55,34.36
35,1400.3,0.2000,-7.18,33.69
36,1414.3,0.2000,-7.60,35.42
37,1428.4,0.2000,-7.46,35.60
38,1442.6,0.2000,-7.21,33.08
39,1456.9,0.2000,-7.57,34.39
40,1471.4,0.2000,-7.14,33.87
41,1486.1,0.2000,-6.96,33.40
42,1500.9,0.2000,-6.88,34.42
43,1515.8,0.2000,-6.98,33.13
44,1530.9,0.2000,-6.99,32.28
45,1546.1,0.2000,-6.81,33.21
46,1561.5,0.2000,-6.90,33.29
47,1577.1,0.2000,-6.87,32.70
48,1592.8,0.2000,-6.91,32.73
49,1608.6,0.2000,-7.06,32.57
50,1624.6,0.2000,-6.87,30.73
51,1640.8,0.2000,-6.77,31.36
52,1657.1,0.2000,-6.71,30.63
53,1673.6,0.2000,-6.49,33.47
54,1690.3,0.2000,-6.54,33.71
55,1707.1,0.2000,-6.28,31.77
56,1724.1,0.2000,-6.15,29.98
57,1741.2,0.2000,-6.42,32.57
58,1758.6,0.2000,-6.46,29.83
59,1776.1,0.2000,-6.47,29.16
60,1793.7,0.2000,-6.14,29.36
61,1811.6,0.2000,-6.42,28.77
62,1829.6,0.2000,-6.52,29.27
63,1847.8,0.2000,-6.49,31.72
64,1866.2,0.2000,-6.24,30.78
65,1884.8,0.2000,-6.11,28.26
66,1903.6,0.2000,-6.38,30.54
67,1922.5,0.2000,-5.92,29.62
68,1941.6,0.2000,-6.49,29.66
69,1961.0,0.2000,-6.02,31.50
70,1980.5,0.2000,-6.28,28.83
71,2000.2,0.2000,-6.32,26.63
72,2020.1,0.2000,-6.11,27.37
73,2040.2,0.2000,-5.97,27.35
74,2060.5,0.2000,-6.19,27.69
75,2081.0,0.2000,-6.17,26.48
76,2101.7,0.2000,-6.08,26.64
77,2122.6,0.2000,-6.12,29.94
78,2143.8,0.2000,-5.92,26.01
79,2165.1,0.2000,-5.96,27.79
80,2186.7,0.2000,-5.99,29.10
81,2208.4,0.2000,-5.81,26.68
82,2230.4,0.2000,-5.99,28.00
83,2252.6,0.2000,-5.88,27.70
84,2275.0,0.2000,-6.00,27.41
85,2297.7,0.2000,-6.04,27.61
86,2320.5,0.2000,-5.78,27.86
87,2343.6,0.2000,-5.75,26.40
88,2367.0,0.2000,-5.67,25.80
89,2390.5,0.2000,-5.80,25.97
90,2414.3,0.2000,-5.68,27.09
91,2438.3,0.2000,-5.74,26.25
92,2462.6,0.2000,-5.84,25.26
93,2487.1,0.2000,-5.42,26.86
94,2511.9,0.2000,-5.55,24.82
95,2536.9,0.2000,-5.78,25.98
96,2562.1,0.2000,-5.45,26.47
97,2587.6,0.2000,-5.61,24.91
98,2613.4,0.2000,-5.50,24.52
99,2639.4,0.2000,-5.27,24.29
100,2665.6,0.2000,-5.34,24.23
101,2692.2,0.2000,-5.70,24.04
102,2719.0,0.2000,-5.51,24.91
103,2746.0,0.2000,-5.43,22.51
104,2773.4,0.2000,-5.40,23.67
105,2801.0,0.2000,-5.56,22.39
106,2828.8,0.2000,-5.52,22.83
107,2857.0,0.2000,-5.47,23.06
108,2885.4,0.2000,-5.36,22.64
109,2914.1,0.2000,-5.20,24.67
110,2943.1,0.2000,-5.38,22.75
111,2972.4,0.2000,-5.28,22.91
112,3002.0,0.2000,-5.24,23.03
113,3031.9,0.2000,-5.26,22.37
114,3062.1,0.2000,-5.17,22.55
