#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,1000.0,1.0000,-2.83,16.90
2,1006.9,1.0000,-2.82,16.75
3,1013.9,1.0000,-2.83,16.60
4,1020.9,1.0000,-2.81,16.53
5,1028.0,1.0000,-2.82,16.50
6,1035.1,1.0000,-2.79,16.48
7,1042.3,1.0000,-2.81,16.19
8,1049.5,1.0000,-2.80,16.22
9,1056.8,1.0000,-2.79,16.04
10,1064.1,1.0000,-2.79,16.06
11,1071.5,1.0000,-2.78,15.92
12,1078.9,1.0000,-2.75,15.80
13,1086.4,1.0000,-2.75,15.71
14,1094.0,1.0000,-2.75,15.60
15,1101.5,1.0000,-2.73,15.53
16,1109.2,1.0000,-2.74,15.37
17,1116.9,1.0000,-2.71,15.29
18,1124.6,1.0000,-2.73,15.20
19,1132.4,1.0000,-2.71,15.13
20,1140.2,1.0000,-2.71,15.07
21,1148.2,1.0000,-2.71,14.91
22,1156.1,1.0000,-2.68,14.80
23,1164.1,1.0000,-2.74,14.56
24,1172.2,1.0000,-2.72,14.56
25,1180.3,1.0000,-2.70,14.50
26,1188.5,1.0000,-2.70,14.38
27,1196.7,1.0000,-2.69,14.33
28,1205.0,1.0000,-2.68,14.23
29,1213.4,1.0000,-2.68,14.21
30,1221.8,1.0000,-2.67,14.10
31,1230.3,1.0000,-2.66,13.99
32,1238.8,1.0000,-2.66,13.88
33,1247.4,1.0000,-2.65,13.82
34,1256.0,1.0000,-2.63,13.71
35,1264.7,1.0000,-2.64,13.65
36,1273.5,1.0000,-2.63,13.58
37,1282.3,1.0000,-2.62,13.47
38,1291.2,1.0000,-2.63,13.36
39,1300.2,1.0000,-2.62,13.35
40,1309.2,1.0000,-2.59,13.24
41,1318.3,1.0000,-2.61,13.18
42,1327.4,1.0000,-2.60,13.08
43,1336.6,1.0000,-2.60,13.01
44,1345.9,1.0000,-2.60,12.90
45,1355.2,1.0000,-2.59,12.78
46,1364.6,1.0000,-2.59,12.71
47,1374.0,1.0000,-2.59,12.63
48,1383.6,1.0000,-2.57,12.55
49,1393.2,1.0000,-2.56,12.48
50,1402.8,1.0000,-2.57,12.44
51,1412.5,1.0000,-2.56,12.36
52,1422.3,1.0000,-2.56,12.26
53,1432.2,1.0000,-2.54,12.15
54,1442.1,1.0000,-2.55,12.15
55,1452.1,1.0000,-2.54,12.02
56,1462.2,1.0000,-2.54,11.96
57,1472.3,1.0000,-2.52,11.87
58,1482.5,1.0000,-2.52,11.80
59,1492.8,1.0000,-2.53,11.70
