#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
60,1503.1,1.0000,-2.53,11.58
61,1513.6,1.0000,-2.52,11.53
62,1524.1,1.0000,-2.51,11.46
63,1534.6,1.0000,-2.50,11.42
64,1545.3,1.0000,-2.52,11.30
65,1556.0,1.0000,-2.50,11.23
66,1566.8,1.0000,-2.49,11.27
67,1577.6,1.0000,-2.48,11.12
68,1588.5,1.0000,-2.49,11.06
69,1599.6,1.0000,-2.49,10.94
70,1610.6,1.0000,-2.48,10.85
71,1621.8,1.0000,-2.49,10.83
72,1633.1,1.0000,-2.49,10.76
73,1644.4,1.0000,-2.47,10.73
74,1655.8,1.0000,-2.47,10.66
75,1667.2,1.0000,-2.47,10.56
76,1678.8,1.0000,-2.47,10.53
77,1690.4,1.0000,-2.46,10.47
78,1702.2,1.0000,-2.45,10.37
79,1714.0,1.0000,-2.45,10.32
80,1725.8,1.0000,-2.44,10.20
81,1737.8,1.0000,-2.44,10.16
82,1749.8,1.0000,-2.45,10.09
83,1762.0,1.0000,-2.43,10.00
84,1774.2,1.0000,-2.43,9.93
85,1786.5,1.0000,-2.42,9.91
86,1798.9,1.0000,-2.44,9.81
87,1811.3,1.0000,-2.43,9.73
88,1823.9,1.0000,-2.42,9.68
89,1836.5,1.0000,-2.42,9.68
90,1849.3,1.0000,-2.42,9.52
91,1862.1,1.0000,-2.40,9.51
92,1875.0,1.0000,-2.41,9.47
93,1888.0,1.0000,-2.40,9.39
94,1901.1,1.0000,-2.41,9.28
95,1914.3,1.0000,-2.41,9.30
96,1927.5,1.0000,-2.41,9.23
97,1940.9,1.0000,-2.40,9.23
98,1954.3,1.0000,-2.41,9.09
99,1967.9,1.0000,-2.40,9.04
100,1981.5,1.0000,-2.39,9.00
101,1995.3,1.0000,-2.39,8.88
102,2009.1,1.0000,-2.39,8.88
103,2023.0,1.0000,-2.39,8.82
104,2037.0,1.0000,-2.39,8.77
105,2051.2,1.0000,-2.39,8.66
106,2065.4,1.0000,-2.38,8.61
107,2079.7,1.0000,-2.38,8.60
108,2094.1,1.0000,-2.38,8.52
109,2108.6,1.0000,-2.36,8.44
110,2123.2,1.0000,-2.36,8.33
111,2138.0,1.0000,-2.36,8.32
112,2152.8,1.0000,-2.35,8.31
113,2167.7,1.0000,-2.35,8.25
114,2182.7,1.0000,-2.35,8.19
115,2197.9,1.0000,-2.36,8.13
116,2213.1,1.0000,-2.35,8.07
117,2228.4,1.0000,-2.35,8.02
118,2243.9,1.0000,-2.34,7.97
119,2259.4,1.0000,-2.33,7.92
120,2275.1,1.0000,-2.34,7.80
121,2290.9,1.0000,-2.33,7.80
122,2306.7,1.0000,-2.34,7.75
123,2322.7,1.0000,-2.35,7.75
124,2338.8,1.0000,-2.33,7.62
125,2355.0,1.0000,-2.33,7.61
126,2371.4,1.0000,-2.33,7.52
127,2387.8,1.0000,-2.33,7.50
128,2404.4,1.0000,-2.32,7.46
129,2421.0,1.0000,-2.32,7.39
130,2437.8,1.0000,-2.33,7.39
131,2454.7,1.0000,-2.33,7.33
132,2471.7,1.0000,-2.33,7.29
133,2488.9,1.0000,-2.31,7.24
134,2506.1,1.0000,-2.32,7.18
135,2523.5,1.0000,-2.32,7.11
136,2541.0,1.0000,-2.32,7.04
137,2558.6,1.0000,-2.35,6.99
138,2576.3,1.0000,-2.34,7.00
139,2594.2,1.0000,-2.35,6.93
140,2612.2,1.0000,-2.34,6.88
141,2630.3,1.0000,-2.34,6.81
142,2648.5,1.0000,-2.34,6.77
143,2666.9,1.0000,-2.33,6.77
144,2685.3,1.0000,-2.33,6.70
145,2704.0,1.0000,-2.32,6.61
146,2722.7,1.0000,-2.34,6.65
147,2741.6,1.0000,-2.33,6.54
148,2760.6,1.0000,-2.32,6.53
149,2779.7,1.0000,-2.33,6.44
150,2799.0,1.0000,-2.33,6.48
151,2818.4,1.0000,-2.33,6.42
152,2837.9,1.0000,-2.33,6.41
153,2857.6,1.0000,-2.32,6.32
154,2877.4,1.0000,-2.32,6.31
155,2897.3,1.0000,-2.32,6.25
156,2917.4,1.0000,-2.32,6.19
157,2937.6,1.0000,-2.32,6.17
158,2958.0,1.0000,-2.30,6.13
159,2978.5,1.0000,-2.30,6.09
160,2999.2,1.0000,-2.30,6.03
161,3020.0,1.0000,-2.30,6.02
162,3040.9,1.0000,-2.30,5.91
163,3062.0,1.0000,-2.30,5.91
164,3083.2,1.0000,-2.30,5.90
165,3104.6,1.0000,-2.30,5.84
166,3126.1,1.0000,-2.29,5.78
167,3147.7,1.0000,-2.30,5.73
168,3169.6,1.0000,-2.28,5.73
169,3191.5,1.0000,-2.30,5.73
170,3213.7,1.0000,-2.31,5.65
171,3235.9,1.0000,-2.29,5.61
172,3258.4,1.0000,-2.29,5.56
173,3281.0,1.0000,-2.30,5.50
174,3303.7,1.0000,-2.30,5.50
175,3326.6,1.0000,-2.29,5.45
176,3349.7,1.0000,-2.29,5.44
177,3372.9,1.0000,-2.29,5.40
178,3396.3,1.0000,-2.29,5.38
179,3419.8,1.0000,-2.29,5.35
180,3443.5,1.0000,-2.29,5.33
181,3467.4,1.0000,-2.28,5.26
182,3491.4,1.0000,-2.28,5.22
183,3515.6,1.0000,-2.28,5.22
184,3540.0,1.0000,-2.28,5.12
185,3564.5,1.0000,-2.28,5.10
186,3589.2,1.0000,-2.28,5.11
187,3614.1,1.0000,-2.28,5.08
188,3639.2,1.0000,-2.27,5.04
189,3664.4,1.0000,-2.28,4.99
190,3689.8,1.0000,-2.27,4.98
191,3715.4,1.0000,-2.27,4.93
192,3741.1,1.0000,-2.29,4.88
193,3767.0,1.0000,-2.27,4.87
194,3793.1,1.0000,-2.28,4.83
195,3819.4,1.0000,-2.26,4.81
196,3845.9,1.0000,-2.27,4.80
197,3872.6,1.0000,-2.26,4.76
198,3899.4,1.0000,-2.28,4.69
199,3926.4,1.0000,-2.27,4.70
200,3953.7,1.0000,-2.26,4.66
201,3981.1,1.0000,-2.28,4.61
202,4008.7,1.0000,-2.27,4.53
203,4036.5,1.0000,-2.27,4.54
204,4064.4,1.0000,-2.26,4.53
205,4092.6,1.0000,-2.26,4.53
206,4121.0,1.0000,-2.26,4.47
207,4149.5,1.0000,-2.26,4.42
208,4178.3,1.0000,-2.26,4.39
209,4207.3,1.0000,-2.26,4.37
210,4236.4,1.0000,-2.27,4.34
211,4265.8,1.0000,-2.27,4.30
212,4295.4,1.0000,-2.26,4.28
213,4325.1,1.0000,-2.25,4.23
214,4355.1,1.0000,-2.27,4.17
215,4385.3,1.0000,-2.25,4.17
216,4415.7,1.0000,-2.25,4.17
217,4446.3,1.0000,-2.26,4.12
218,4477.1,1.0000,-2.28,4.08
219,4508.2,1.0000,-2.28,4.12
220,4539.4,1.0000,-2.28,4.06
221,4570.9,1.0000,-2.27,4.05
222,4602.6,1.0000,-2.29,4.01
223,4634.5,1.0000,-2.27,3.97
224,4666.6,1.0000,-2.28,3.96
225,4698.9,1.0000,-2.28,3.94
226,4731.5,1.0000,-2.28,3.90
227,4764.3,1.0000,-2.28,3.83
228,4797.3,1.0000,-2.28,3.90
229,4830.6,1.0000,-2.27,3.83
230,4864.1,1.0000,-2.28,3.78
231,4897.8,1.0000,-2.29,3.78
232,4931.7,1.0000,-2.29,3.72
233,4965.9,1.0000,-2.29,3.72
234,5000.3,1.0000,-2.28,3.72
235,5035.0,1.0000,-2.28,3.72
236,5069.9,1.0000,-2.28,3.67
237,5105.1,1.0000,-2.29,3.61
238,5140.4,1.0000,-2.27,3.64
239,5176.1,1.0000,-2.28,3.55
240,5211.9,1.0000,-2.27,3.56
241,5248.1,1.0000,-2.28,3.55
242,5284.5,1.0000,-2.28,3.49
243,5321.1,1.0000,-2.28,3.49
244,5358.0,1.0000,-2.28,3.44
245,5395.1,1.0000,-2.26,3.44
246,5432.5,1.0000,-2.28,3.45
247,5470.2,1.0000,-2.28,3.33
248,5508.1,1.0000,-2.28,3.34
249,5546.3,1.0000,-2.28,3.32
250,5584.7,1.0000,-2.28,3.32
251,5623.4,1.0000,-2.29,3.34
252,5662.4,1.0000,-2.27,3.33
253,5701.6,1.0000,-2.28,3.32
254,5741.2,1.0000,-2.26,3.21
255,5781.0,1.0000,-2.28,3.21
256,5821.0,1.0000,-2.25,3.21
257,5861.4,1.0000,-2.25,3.15
258,5902.0,1.0000,-2.25,3.15
259,5942.9,1.0000,-2.24,3.13
260,5984.1,1.0000,-2.25,3.09
261,6025.6,1.0000,-2.23,3.10
262,6067.4,1.0000,-2.25,3.04
263,6109.4,1.0000,-2.23,3.03
264,6151.8,1.0000,-2.24,3.03
265,6194.4,1.0000,-2.25,3.02
266,6237.3,1.0000,-2.24,2.98
267,6280.6,1.0000,-2.24,2.92
268,6324.1,1.0000,-2.25,2.94
269,6368.0,1.0000,-2.24,2.92
270,6412.1,1.0000,-2.26,2.92
271,6456.5,1.0000,-2.24,2.87
272,6501.3,1.0000,-2.24,2.92
273,6546.4,1.0000,-2.24,2.81
274,6591.7,1.0000,-2.24,2.81
275,6637.4,1.0000,-2.22,2.81
276,6683.4,1.0000,-2.24,2.80
277,6729.8,1.0000,-2.24,2.79
278,6776.4,1.0000,-2.24,2.75
279,6823.4,1.0000,-2.24,2.71
280,6870.7,1.0000,-2.24,2.73
281,6918.3,1.0000,-2.24,2.68
282,6966.3,1.0000,-2.23,2.69
283,7014.6,1.0000,-2.23,2.64
284,7063.2,1.0000,-2.23,2.63
285,7112.1,1.0000,-2.23,2.60
286,7161.4,1.0000,-2.23,2.65
287,7211.1,1.0000,-2.23,2.62
288,7261.1,1.0000,-2.24,2.53
289,7311.4,1.0000,-2.25,2.52
290,7362.1,1.0000,-2.23,2.53
291,7413.1,1.0000,-2.23,2.52
292,7464.5,1.0000,-2.22,2.53
293,7516.2,1.0000,-2.24,2.46
294,7568.3,1.0000,-2.24,2.42
295,7620.8,1.0000,-2.22,2.46
296,7673.6,1.0000,-2.22,2.42
297,7726.8,1.0000,-2.22,2.39
298,7780.4,1.0000,-2.23,2.41
299,7834.3,1.0000,-2.23,2.41
300,7888.6,1.0000,-2.23,2.41
301,7943.3,1.0000,-2.22,2.41
302,7998.3,1.0000,-2.22,2.41
303,8053.8,1.0000,-2.23,2.35
304,8109.6,1.0000,-2.23,2.29
305,8165.8,1.0000,-2.23,2.30
306,8222.4,1.0000,-2.22,2.30
307,8279.4,1.0000,-2.20,2.23
308,8336.8,1.0000,-2.20,2.19
309,8394.6,1.0000,-2.20,2.23
310,8452.8,1.0000,-2.20,2.19
311,8511.4,1.0000,-2.20,2.18
312,8570.4,1.0000,-2.19,2.18
313,8629.8,1.0000,-2.18,2.12
314,8689.6,1.0000,-2.19,2.12
315,8749.8,1.0000,-2.20,2.14
316,8810.5,1.0000,-2.21,2.08
317,8871.6,1.0000,-2.20,2.12
318,8933.1,1.0000,-2.18,2.12
319,8995.0,1.0000,-2.19,2.12
320,9057.3,1.0000,-2.20,2.07
321,9120.1,1.0000,-2.19,2.07
322,9183.3,1.0000,-2.19,2.02
323,9247.0,1.0000,-2.20,2.07
324,9311.1,1.0000,-2.19,2.01
325,9375.6,1.0000,-2.20,2.00
326,9440.6,1.0000,-2.19,1.98
327,9506.0,1.0000,-2.19,1.90
328,9571.9,1.0000,-2.19,1.94
329,9638.3,1.0000,-2.19,1.94
330,9705.1,1.0000,-2.19,1.94
331,9772.4,1.0000,-2.19,1.93
332,9840.1,1.0000,-2.20,1.94
333,9908.3,1.0000,-2.19,1.85
334,9977.0,1.0000,-2.19,1.89
335,10046.2,1.0000,-2.19,1.83
336,10115.8,1.0000,-2.19,1.83
337,10185.9,1.0000,-2.19,1.83
338,10256.5,1.0000,-2.19,1.83
339,10327.6,1.0000,-2.20,1.83
340,10399.2,1.0000,-2.19,1.82
341,10471.3,1.0000,-2.20,1.78
342,10543.9,1.0000,-2.19,1.77
343,10617.0,1.0000,-2.19,1.77
344,10690.5,1.0000,-2.19,1.78
345,10764.7,1.0000,-2.19,1.73
346,10839.3,1.0000,-2.18,1.75
347,10914.4,1.0000,-2.20,1.71
348,10990.1,1.0000,-2.19,1.76
349,11066.2,1.0000,-2.19,1.66
350,11142.9,1.0000,-2.19,1.71
351,11220.2,1.0000,-2.18,1.66
352,11298.0,1.0000,-2.19,1.66
353,11376.3,1.0000,-2.19,1.67
354,11455.1,1.0000,-2.19,1.62
355,11534.5,1.0000,-2.19,1.67
356,11614.5,1.0000,-2.18,1.60
357,11695.0,1.0000,-2.17,1.60
358,11776.1,1.0000,-2.18,1.56
359,11857.7,1.0000,-2.18,1.59
360,11939.9,1.0000,-2.19,1.55
361,12022.6,1.0000,-2.19,1.60
362,12106.0,1.0000,-2.19,1.55
363,12189.9,1.0000,-2.18,1.55
364,12274.4,1.0000,-2.18,1.50
365,12359.5,1.0000,-2.19,1.54
366,12445.1,1.0000,-2.18,1.49
367,12531.4,1.0000,-2.18,1.53
368,12618.3,1.0000,-2.19,1.50
369,12705.7,1.0000,-2.19,1.49
370,12793.8,1.0000,-2.18,1.44
371,12882.5,1.0000,-2.18,1.49
372,12971.8,1.0000,-2.18,1.49
373,13061.7,1.0000,-2.17,1.43
374,13152.2,1.0000,-2.16,1.44
375,13243.4,1.0000,-2.18,1.44
376,13335.2,1.0000,-2.18,1.44
377,13427.6,1.0000,-2.18,1.39
378,13520.7,1.0000,-2.18,1.43
379,13614.4,1.0000,-2.18,1.37
380,13708.8,1.0000,-2.18,1.37
381,13803.8,1.0000,-2.16,1.37
382,13899.5,1.0000,-2.18,1.38
383,13995.9,1.0000,-2.19,1.32
384,14092.9,1.0000,-2.19,1.32
385,14190.6,1.0000,-2.18,1.32
386,14288.9,1.0000,-2.19,1.26
387,14388.0,1.0000,-2.19,1.28
388,14487.7,1.0000,-2.17,1.24
389,14588.1,1.0000,-2.19,1.28
390,14689.3,1.0000,-2.18,1.25
391,14791.1,1.0000,-2.17,1.26
392,14893.6,1.0000,-2.18,1.25
393,14996.8,1.0000,-2.18,1.26
394,15100.8,1.0000,-2.17,1.20
395,15205.5,1.0000,-2.19,1.21
396,15310.9,1.0000,-2.19,1.22
397,15417.0,1.0000,-2.19,1.21
398,15523.9,1.0000,-2.19,1.16
399,15631.5,1.0000,-2.18,1.20
400,15739.8,1.0000,-2.18,1.15
401,15848.9,1.0000,-2.19,1.14
402,15958.8,1.0000,-2.18,1.15
403,16069.4,1.0000,-2.18,1.15
404,16180.8,1.0000,-2.19,1.17
405,16293.0,1.0000,-2.17,1.14
406,16405.9,1.0000,-2.18,1.14
407,16519.6,1.0000,-2.19,1.14
408,16634.1,1.0000,-2.18,1.10
409,16749.4,1.0000,-2.18,1.09
410,16865.5,1.0000,-2.17,1.09
411,16982.4,1.0000,-2.18,1.09
412,17100.2,1.0000,-2.17,1.09
413,17218.7,1.0000,-2.18,1.09
414,17338.0,1.0000,-2.18,1.09
415,17458.2,1.0000,-2.18,1.09
416,17579.2,1.0000,-2.19,1.02
417,17701.1,1.0000,-2.18,1.03
418,17823.8,1.0000,-2.19,1.07
419,17947.3,1.0000,-2.18,1.03
420,18071.7,1.0000,-2.17,1.03
421,18197.0,1.0000,-2.17,0.97
422,18323.1,1.0000,-2.18,0.97
423,18450.2,1.0000,-2.18,1.01
424,18578.0,1.0000,-2.16,0.99
425,18706.8,1.0000,-2.17,1.02
426,18836.5,1.0000,-2.17,0.97
427,18967.1,1.0000,-2.18,0.99
428,19098.5,1.0000,-2.16,0.98
429,19230.9,1.0000,-2.16,0.91
430,19364.2,1.0000,-2.16,0.91
431,19498.4,1.0000,-2.17,0.98
432,19633.6,1.0000,-2.17,0.93
433,19769.7,1.0000,-2.16,0.91
434,19906.7,1.0000,-2.17,0.94
435,20044.7,1.0000,-2.18,0.96
436,20183.7,1.0000,-2.16,0.91
437,20323.6,1.0000,-2.16,0.92
438,20464.4,1.0000,-2.16,0.91
439,20606.3,1.0000,-2.17,0.92
440,20749.1,1.0000,-2.17,0.90
441,20893.0,1.0000,-2.17,0.91
442,21037.8,1.0000,-2.16,0.87
443,21183.6,1.0000,-2.16,0.86
444,21330.4,1.0000,-2.16,0.86
445,21478.3,1.0000,-2.15,0.86
446,21627.2,1.0000,-2.15,0.86
447,21777.1,1.0000,-2.15,0.86
448,21928.0,1.0000,-2.17,0.82
449,22080.0,1.0000,-2.15,0.85
450,22233.1,1.0000,-2.16,0.81
451,22387.2,1.0000,-2.16,0.84
452,22542.4,1.0000,-2.15,0.82
453,22698.6,1.0000,-2.16,0.84
454,22856.0,1.0000,-2.19,0.79
455,23014.4,1.0000,-2.19,0.80
456,23173.9,1.0000,-2.19,0.79
457,23334.6,1.0000,-2.20,0.75
458,23496.3,1.0000,-2.20,0.76
459,23659.2,1.0000,-2.18,0.79
460,23823.2,1.0000,-2.19,0.75
461,23988.3,1.0000,-2.17,0.75
462,24154.6,1.0000,-2.18,0.75
463,24322.0,1.0000,-2.18,0.75
464,24490.6,1.0000,-2.18,0.70
465,24660.4,1.0000,-2.19,0.72
466,24831.3,1.0000,-2.18,0.71
467,25003.5,1.0000,-2.19,0.68
468,25176.8,1.0000,-2.19,0.74
469,25351.3,1.0000,-2.19,0.71
470,25527.0,1.0000,-2.20,0.73
471,25704.0,1.0000,-2.18,0.69
472,25882.1,1.0000,-2.18,0.69
473,26061.5,1.0000,-2.18,0.68
474,26242.2,1.0000,-2.17,0.69
475,26424.1,1.0000,-2.18,0.63
476,26607.3,1.0000,-2.19,0.69
477,26791.7,1.0000,-2.19,0.65
478,26977.4,1.0000,-2.18,0.69
479,27164.4,1.0000,-2.18,0.65
480,27352.7,1.0000,-2.18,0.63
481,27542.3,1.0000,-2.18,0.63
482,27733.2,1.0000,-2.18,0.63
483,27925.4,1.0000,-2.19,0.63
484,28119.0,1.0000,-2.19,0.63
485,28313.9,1.0000,-2.18,0.63
486,28510.2,1.0000,-2.19,0.63
487,28707.8,1.0000,-2.19,0.63
488,28906.8,1.0000,-2.19,0.64
489,29107.2,1.0000,-2.19,0.57
490,29308.9,1.0000,-2.19,0.57
491,29512.1,1.0000,-2.18,0.60
492,29716.7,1.0000,-2.18,0.62
493,29922.6,1.0000,-2.18,0.63
494,30130.1,1.0000,-2.17,0.62
495,30338.9,1.0000,-2.17,0.64
496,30549.2,1.0000,-2.18,0.63
497,30761.0,1.0000,-2.18,0.57
498,30974.2,1.0000,-2.18,0.57
499,31188.9,1.0000,-2.17,0.57
500,31405.1,1.0000,-2.17,0.58
501,31622.8,1.0000,-2.18,0.57
502,31842.0,1.0000,-2.17,0.61
503,32062.7,1.0000,-2.17,0.59
504,32284.9,1.0000,-2.17,0.57
505,32508.7,1.0000,-2.18,0.57
506,32734.1,1.0000,-2.19,0.56
507,32961.0,1.0000,-2.18,0.56
508,33189.4,1.0000,-2.17,0.57
509,33419.5,1.0000,-2.18,0.56
510,33651.2,1.0000,-2.16,0.51
511,33884.4,1.0000,-2.17,0.57
512,34119.3,1.0000,-2.18,0.53
513,34355.8,1.0000,-2.17,0.53
514,34593.9,1.0000,-2.18,0.51
515,34833.7,1.0000,-2.18,0.56
516,35075.2,1.0000,-2.18,0.52
517,35318.3,1.0000,-2.17,0.52
518,35563.1,1.0000,-2.17,0.52
519,35809.6,1.0000,-2.17,0.53
520,36057.9,1.0000,-2.16,0.52
521,36307.8,1.0000,-2.16,0.48
522,36559.5,1.0000,-2.17,0.52
523,36812.9,1.0000,-2.20,0.57
524,37068.1,1.0000,-2.21,0.63
525,37325.0,1.0000,-2.19,0.57
526,37583.7,1.0000,-2.19,0.57
527,37844.3,1.0000,-2.20,0.57
528,38106.6,1.0000,-2.20,0.59
529,38370.7,1.0000,-2.20,0.62
530,38636.7,1.0000,-2.19,0.53
531,38904.5,1.0000,-2.20,0.57
532,39174.2,1.0000,-2.20,0.57
533,39445.7,1.0000,-2.20,0.57
534,39719.2,1.0000,-2.21,0.57
535,39994.5,1.0000,-2.21,0.57
536,40271.7,1.0000,-2.20,0.57
537,40550.9,1.0000,-2.19,0.57
538,40831.9,1.0000,-2.21,0.53
539,41115.0,1.0000,-2.20,0.52
540,41400.0,1.0000,-2.20,0.53
541,41686.9,1.0000,-2.20,0.52
542,41975.9,1.0000,-2.21,0.57
543,42266.9,1.0000,-2.20,0.52
544,42559.8,1.0000,-2.21,0.53
545,42854.9,1.0000,-2.21,0.56
546,43151.9,1.0000,-2.20,0.52
547,43451.0,1.0000,-2.20,0.52
548,43752.2,1.0000,-2.21,0.53
549,44055.5,1.0000,-2.21,0.52
550,44360.9,1.0000,-2.19,0.53
551,44668.4,1.0000,-2.21,0.52
552,44978.0,1.0000,-2.20,0.52
553,45289.8,1.0000,-2.20,0.53
554,45603.7,1.0000,-2.21,0.52
555,45919.8,1.0000,-2.21,0.52
556,46238.1,1.0000,-2.20,0.52
557,46558.6,1.0000,-2.20,0.50
558,46881.3,1.0000,-2.19,0.46
559,47206.3,1.0000,-2.20,0.52
560,47533.5,1.0000,-2.18,0.44
561,47863.0,1.0000,-2.18,0.38
562,48194.8,1.0000,-2.17,0.41
563,48528.9,1.0000,-2.19,0.40
564,48865.2,1.0000,-2.16,0.36
565,49204.0,1.0000,-2.18,0.38
566,49545.0,1.0000,-2.18,0.40
567,49888.4,1.0000,-2.18,0.40
568,50234.3,1.0000,-2.18,0.41
569,50582.5,1.0000,-2.18,0.36
570,50933.1,1.0000,-2.18,0.36
571,51286.1,1.0000,-2.18,0.39
572,51641.6,1.0000,-2.18,0.37
573,51999.6,1.0000,-2.18,0.38
574,52360.0,1.0000,-2.18,0.41
575,52723.0,1.0000,-2.18,0.38
576,53088.4,1.0000,-2.16,0.36
577,53456.4,1.0000,-2.18,0.35
578,53827.0,1.0000,-2.18,0.34
579,54200.1,1.0000,-2.18,0.36
580,54575.8,1.0000,-2.17,0.34
581,54954.1,1.0000,-2.16,0.34
582,55335.0,1.0000,-2.17,0.35
583,55718.6,1.0000,-2.17,0.35
584,56104.8,1.0000,-2.17,0.34
585,56493.7,1.0000,-2.17,0.34
586,56885.3,1.0000,-2.17,0.34
587,57279.6,1.0000,-2.16,0.34
588,57676.6,1.0000,-2.16,0.31
589,58076.4,1.0000,-2.16,0.35
590,58479.0,1.0000,-2.17,0.33
591,58884.4,1.0000,-2.17,0.30
592,59292.5,1.0000,-2.15,0.34
593,59703.5,1.0000,-2.16,0.30
594,60117.4,1.0000,-2.16,0.34
595,60534.1,1.0000,-2.18,0.29
596,60953.7,1.0000,-2.18,0.25
597,61376.2,1.0000,-2.18,0.29
598,61801.6,1.0000,-2.19,0.23
599,62230.0,1.0000,-2.18,0.23
600,62661.4,1.0000,-2.18,0.23
601,63095.7,1.0000,-2.18,0.23
602,63533.1,1.0000,-2.19,0.23
603,63973.5,1.0000,-2.19,0.23
604,64416.9,1.0000,-2.18,0.23
605,64863.4,1.0000,-2.18,0.23
606,65313.1,1.0000,-2.18,0.23
607,65765.8,1.0000,-2.18,0.23
608,66221.7,1.0000,-2.19,0.23
609,66680.7,1.0000,-2.19,0.23
610,67142.9,1.0000,-2.18,0.19
611,67608.3,1.0000,-2.19,0.27
612,68076.9,1.0000,-2.18,0.19
613,68548.8,1.0000,-2.19,0.22
614,69024.0,1.0000,-2.19,0.22
615,69502.4,1.0000,-2.18,0.21
616,69984.2,1.0000,-2.19,0.23
617,70469.3,1.0000,-2.20,0.23
618,70957.8,1.0000,-2.18,0.22
619,71449.6,1.0000,-2.18,0.19
620,71944.9,1.0000,-2.19,0.23
621,72443.6,1.0000,-2.19,0.21
622,72945.8,1.0000,-2.18,0.22
623,73451.4,1.0000,-2.18,0.18
624,73960.5,1.0000,-2.18,0.22
625,74473.2,1.0000,-2.18,0.21
626,74989.4,1.0000,-2.19,0.22
627,75509.2,1.0000,-2.18,0.22
628,76032.6,1.0000,-2.19,0.22
629,76559.7,1.0000,-2.19,0.18
630,77090.3,1.0000,-2.18,0.21
631,77624.7,1.0000,-2.19,0.23
632,78162.8,1.0000,-2.19,0.23
633,78704.6,1.0000,-2.19,0.21
634,79250.1,1.0000,-2.18,0.22
635,79799.5,1.0000,-2.17,0.29
636,80352.6,1.0000,-2.18,0.27
637,80909.6,1.0000,-2.17,0.29
638,81470.4,1.0000,-2.18,0.23
639,82035.2,1.0000,-2.18,0.23
640,82603.8,1.0000,-2.19,0.29
641,83176.4,1.0000,-2.18,0.23
642,83752.9,1.0000,-2.18,0.23
643,84333.5,1.0000,-2.18,0.21
644,84918.0,1.0000,-2.18,0.27
645,85506.7,1.0000,-2.19,0.23
646,86099.4,1.0000,-2.18,0.23
647,86696.2,1.0000,-2.18,0.23
648,87297.1,1.0000,-2.16,0.22
649,87902.3,1.0000,-2.18,0.23
650,88511.6,1.0000,-2.18,0.23
651,89125.1,1.0000,-2.18,0.25
652,89742.9,1.0000,-2.18,0.23
653,90364.9,1.0000,-2.17,0.23
654,90991.3,1.0000,-2.19,0.23
655,91622.0,1.0000,-2.18,0.25
656,92257.1,1.0000,-2.18,0.23
657,92896.6,1.0000,-2.18,0.23
658,93540.6,1.0000,-2.18,0.23
659,94189.0,1.0000,-2.18,0.23
660,94841.8,1.0000,-2.18,0.23
661,95499.3,1.0000,-2.17,0.27
662,96161.2,1.0000,-2.18,0.23
663,96827.8,1.0000,-2.16,0.25
