#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,1000.0,0.2000,-85.77,-7.59
2,1010.0,0.2000,-83.11,20.69
3,1020.0,0.2000,-87.44,-32.83
4,1030.2,0.2000,-83.13,-16.00
5,1040.4,0.2000,-86.69,-2.83
6,1050.8,0.2000,-85.49,-6.34
7,1061.2,0.2000,-85.98,22.22
8,1071.8,0.2000,-83.30,-10.03
9,1082.5,0.2000,-82.23,0.73
10,1093.2,0.2000,-84.63,10.75
11,1104.1,0.2000,-82.71,-9.23
12,1115.1,0.2000,-83.56,-2.86
13,1126.2,0.2000,-84.36,-7.65
14,1137.4,0.2000,-82.21,-1.39
15,1148.7,0.2000,-82.55,-11.46
16,1160.2,0.2000,-82.41,-15.10
17,1171.7,0.2000,-83.69,5.72
18,1183.4,0.2000,-80.11,3.36
19,1195.1,0.2000,-83.34,11.48
20,1207.0,0.2000,-80.59,1.78
21,1219.0,0.2000,-79.95,2.83
22,1231.2,0.2000,-80.01,-1.83
23,1243.4,0.2000,-80.56,-1.40
24,1255.8,0.2000,-81.24,9.88
25,1268.3,0.2000,-80.19,-3.62
26,1280.9,0.2000,-79.86,-3.75
27,1293.7,0.2000,-79.29,-5.87
28,1306.6,0.2000,-79.80,-1.36
29,1319.6,0.2000,-78.16,-5.30
30,1332.7,0.2000,-80.21,-4.59
31,1346.0,0.2000,-80.05,13.93
32,1359.4,0.2000,-77.83,-2.55
33,1372.9,0.2000,-78.85,-7.45
34,1386.5,0.2000,-79.17,-9.05
35,1400.3,0.2000,-78.08,-1.70
36,1414.3,0.2000,-77.75,0.87
37,1428.4,0.2000,-79.50,-5.27
38,1442.6,0.2000,-78.02,-3.63
39,1456.9,0.2000,-78.47,-2.42
40,1471.4,0.2000,-77.19,-10.99
41,1486.1,0.2000,-77.73,-2.83
42,1500.9,0.2000,-77.46,-2.71
43,1515.8,0.2000,-76.68,-0.77
44,1530.9,0.2000,-76.64,-3.05
45,1546.1,0.2000,-77.57,-1.55
46,1561.5,0.2000,-75.40,-2.75
47,1577.1,0.2000,-76.81,-5.95
48,1592.8,0.2000,-75.58,-4.52
49,1608.6,0.2000,-76.16,-4.23
50,1624.6,0.2000,-75.56,-1.43
51,1640.8,0.2000,-75.25,1.72
52,1657.1,0.2000,-75.28,-6.43
53,1673.6,0.2000,-74.61,-2.42
54,1690.3,0.2000,-74.26,0.75
55,1707.1,0.2000,-74.42,-3.71
56,1724.1,0.2000,-74.61,-7.90
57,1741.2,0.2000,-74.17,-1.94
58,1758.6,0.2000,-74.02,-3.60
59,1776.1,0.2000,-74.09,-6.27
60,1793.7,0.2000,-73.19,-2.82
61,1811.6,0.2000,-73.79,-6.80
62,1829.6,0.2000,-73.12,0.19
63,1847.8,0.2000,-73.49,-4.96
64,1866.2,0.2000,-72.93,-3.45
65,1884.8,0.2000,-73.03,-5.42
66,1903.6,0.2000,-72.65,-5.48
67,1922.5,0.2000,-71.79,-7.42
68,1941.6,0.2000,-72.18,-7.38
69,1961.0,0.2000,-71.99,-5.50
70,1980.5,0.2000,-71.35,-5.12
71,2000.2,0.2000,-71.02,-3.35
72,2020.1,0.2000,-71.30,-2.29
73,2040.2,0.2000,-71.92,-2.13
74,2060.5,0.2000,-71.20,-3.17
75,2081.0,0.2000,-70.61,-3.86
76,2101.7,0.2000,-70.68,-6.40
77,2122.6,0.2000,-70.64,-6.73
78,2143.8,0.2000,-70.46,-5.72
79,2165.1,0.2000,-70.22,-5.10
80,2186.7,0.2000,-69.82,-4.82
81,2208.4,0.2000,-69.84,-5.73
82,2230.4,0.2000,-69.65,-7.06
83,2252.6,0.2000,-69.05,-5.66
84,2275.0,0.2000,-69.49,-4.27
85,2297.7,0.2000,-69.45,-5.92
86,2320.5,0.2000,-68.78,-7.82
87,2343.6,0.2000,-68.83,-9.37
88,2367.0,0.2000,-68.44,-6.84
89,2390.5,0.2000,-68.39,-7.30
90,2414.3,0.2000,-68.18,-4.40
91,2438.3,0.2000,-67.76,-5.59
92,2462.6,0.2000,-67.93,-6.64
93,2487.1,0.2000,-67.92,-8.89
94,2511.9,0.2000,-67.53,-5.32
95,2536.9,0.2000,-67.25,-7.55
96,2562.1,0.2000,-67.24,-6.26
97,2587.6,0.2000,-67.19,-4.34
98,2613.4,0.2000,-66.72,-6.40
99,2639.4,0.2000,-66.33,-7.47
100,2665.6,0.2000,-66.39,-5.58
101,2692.2,0.2000,-66.32,-6.62
102,2719.0,0.2000,-65.91,-7.28
103,2746.0,0.2000,-65.53,-7.34
104,2773.4,0.2000,-65.66,-8.06
105,2801.0,0.2000,-65.52,-6.53
106,2828.8,0.2000,-65.49,-8.56
107,2857.0,0.2000,-65.16,-6.63
108,2885.4,0.2000,-64.93,-7.77
109,2914.1,0.2000,-64.98,-6.15
110,2943.1,0.2000,-64.65,-7.63
111,2972.4,0.2000,-64.61,-8.36
112,3002.0,0.2000,-64.34,-7.59
113,3031.9,0.2000,-64.17,-8.34
114,3062.1,0.2000,-64.04,-7.57
115,3092.6,0.2000,-63.91,-9.00
116,3123.3,0.2000,-63.68,-7.45
117,3154.4,0.2000,-63.35,-9.38
118,3185.8,0.2000,-63.22,-7.32
119,3217.5,0.2000,-63.16,-9.89
120,3249.5,0.2000,-62.93,-8.36
121,3281.9,0.2000,-62.72,-8.63
122,3314.6,0.2000,-62.45,-9.48
123,3347.5,0.2000,-62.38,-7.61
124,3380.9,0.2000,-61.97,-8.80
125,3414.5,0.2000,-62.02,-8.31
126,3448.5,0.2000,-61.75,-10.03
127,3482.8,0.2000,-61.47,-8.45
128,3517.5,0.2000,-61.24,-8.98
129,3552.5,0.2000,-61.33,-9.90
130,3587.8,0.2000,-61.17,-8.61
131,3623.5,0.2000,-60.87,-8.86
132,3659.6,0.2000,-60.80,-9.48
133,3696.0,0.2000,-60.70,-9.27
134,3732.8,0.2000,-60.47,-9.55
135,3770.0,0.2000,-60.26,-9.96
136,3807.5,0.2000,-60.06,-10.19
137,3845.4,0.2000,-59.99,-11.15
138,3883.7,0.2000,-59.78,-10.52
139,3922.3,0.2000,-59.46,-10.07
140,3961.3,0.2000,-59.44,-10.68
141,4000.8,0.2000,-59.29,-11.02
142,4040.6,0.2000,-58.99,-10.35
143,4080.8,0.2000,-58.79,-10.92
144,4121.4,0.2000,-58.62,-10.76
145,4162.4,0.2000,-58.40,-11.41
146,4203.9,0.2000,-58.28,-11.43
147,4245.7,0.2000,-58.02,-11.48
148,4288.0,0.2000,-57.89,-11.29
149,4330.6,0.2000,-57.77,-11.08
150,4373.7,0.2000,-57.60,-11.09
151,4417.3,0.2000,-57.46,-11.45
152,4461.2,0.2000,-57.18,-11.87
153,4505.6,0.2000,-57.01,-11.89
154,4550.5,0.2000,-56.82,-11.72
155,4595.8,0.2000,-56.80,-11.91
156,4641.5,0.2000,-56.58,-12.06
157,4687.7,0.2000,-56.48,-12.11
158,4734.4,0.2000,-56.17,-12.35
159,4781.5,0.2000,-55.97,-12.28
160,4829.1,0.2000,-55.87,-12.28
161,4877.1,0.2000,-55.73,-13.38
162,4925.7,0.2000,-55.51,-13.12
163,4974.7,0.2000,-55.34,-12.92
164,5024.2,0.2000,-55.14,-12.95
165,5074.2,0.2000,-55.09,-13.38
166,5124.7,0.2000,-54.82,-13.53
167,5175.7,0.2000,-54.65,-13.31
168,5227.2,0.2000,-54.48,-13.78
169,5279.3,0.2000,-54.36,-14.50
170,5331.8,0.2000,-54.20,-13.55
171,5384.9,0.2000,-54.01,-14.06
172,5438.5,0.2000,-53.84,-14.73
173,5492.6,0.2000,-53.61,-14.22
174,5547.3,0.2000,-53.43,-14.76
175,5602.5,0.2000,-53.31,-14.45
176,5658.2,0.2000,-53.15,-14.73
177,5714.5,0.2000,-52.91,-15.23
178,5771.4,0.2000,-52.77,-14.98
179,5828.9,0.2000,-52.58,-15.39
180,5886.9,0.2000,-52.46,-15.69
181,5945.5,0.2000,-52.25,-15.88
182,6004.6,0.2000,-52.09,-16.05
183,6064.4,0.2000,-51.92,-16.15
184,6124.8,0.2000,-51.77,-16.23
185,6185.7,0.2000,-51.60,-16.26
186,6247.3,0.2000,-51.47,-16.43
187,6309.5,0.2000,-51.24,-16.46
188,6372.2,0.2000,-51.11,-17.00
189,6435.7,0.2000,-50.97,-16.89
190,6499.7,0.2000,-50.78,-17.15
191,6564.4,0.2000,-50.54,-17.09
192,6629.7,0.2000,-50.39,-17.48
193,6695.7,0.2000,-50.24,-17.53
194,6762.4,0.2000,-50.06,-17.72
195,6829.7,0.2000,-49.88,-17.86
196,6897.6,0.2000,-49.71,-18.16
197,6966.3,0.2000,-49.55,-18.19
198,7035.6,0.2000,-49.39,-18.43
199,7105.7,0.2000,-49.25,-18.66
200,7176.4,0.2000,-49.06,-18.68
201,7247.8,0.2000,-48.93,-19.02
202,7319.9,0.2000,-48.76,-18.96
203,7392.8,0.2000,-48.54,-19.39
204,7466.4,0.2000,-48.40,-19.47
205,7540.7,0.2000,-48.24,-19.79
206,7615.7,0.2000,-48.04,-19.94
207,7691.5,0.2000,-47.85,-20.05
208,7768.1,0.2000,-47.74,-20.20
209,7845.4,0.2000,-47.58,-20.48
210,7923.5,0.2000,-47.40,-20.56
211,8002.3,0.2000,-47.23,-20.60
212,8082.0,0.2000,-47.06,-20.87
213,8162.4,0.2000,-46.86,-21.14
214,8243.6,0.2000,-46.77,-21.28
215,8325.7,0.2000,-46.57,-21.67
216,8408.6,0.2000,-46.44,-21.86
217,8492.2,0.2000,-46.24,-22.01
218,8576.8,0.2000,-46.08,-22.24
219,8662.1,0.2000,-45.93,-22.44
220,8748.3,0.2000,-45.76,-22.63
221,8835.4,0.2000,-45.59,-22.79
222,8923.3,0.2000,-45.43,-22.90
223,9012.2,0.2000,-45.26,-23.09
224,9101.9,0.2000,-45.11,-23.40
225,9192.4,0.2000,-44.96,-23.59
226,9283.9,0.2000,-44.78,-23.80
227,9376.3,0.2000,-44.62,-23.94
228,9469.6,0.2000,-44.46,-24.34
229,9563.9,0.2000,-44.30,-24.47
230,9659.1,0.2000,-44.12,-24.74
231,9755.2,0.2000,-43.97,-24.91
232,9852.3,0.2000,-43.81,-25.05
233,9950.4,0.2000,-43.63,-25.29
234,10049.4,0.2000,-43.49,-25.61
235,10149.4,0.2000,-43.35,-25.83
236,10250.4,0.2000,-43.16,-26.04
237,10352.4,0.2000,-43.01,-26.25
238,10455.5,0.2000,-42.86,-26.53
239,10559.5,0.2000,-42.69,-26.74
240,10664.6,0.2000,-42.54,-26.98
241,10770.8,0.2000,-42.39,-27.22
242,10878.0,0.2000,-42.23,-27.44
243,10986.2,0.2000,-42.07,-27.70
244,11095.6,0.2000,-41.93,-27.87
245,11206.0,0.2000,-41.77,-28.19
246,11317.5,0.2000,-41.61,-28.43
247,11430.2,0.2000,-41.45,-28.60
248,11543.9,0.2000,-41.29,-28.94
249,11658.8,0.2000,-41.14,-29.18
250,11774.9,0.2000,-40.99,-29.41
251,11892.1,0.2000,-40.82,-29.64
252,12010.4,0.2000,-40.67,-29.82
253,12130.0,0.2000,-40.51,-30.22
254,12250.7,0.2000,-40.37,-30.44
255,12372.6,0.2000,-40.20,-30.72
